teacher,projection_family,shape,basis_count,rank,status,original_params,compressed_params,compression_ratio,weight_relative_error,median_layer_error,p95_layer_error,max_layer_error,fit_seconds,artifact
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",2,0,ok,805306368,33554528,23.99993133564567,0.970850944519043,0.9999890327453613,0.9999998807907104,1.0,0.489436800009571,reports\basis_fits\attn-k_4096x4096_k2_r0.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",2,4,ok,805306368,35127392,22.925310481347434,0.9441348314285278,0.9742381572723389,0.9831184148788452,0.9852891564369202,0.4184417000069516,reports\basis_fits\attn-k_4096x4096_k2_r4.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",2,8,ok,805306368,36700256,21.9427997450481,0.9281443953514099,0.9573244452476501,0.9720803499221802,0.9762879610061646,0.3627437999966787,reports\basis_fits\attn-k_4096x4096_k2_r8.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",2,16,ok,805306368,39845984,20.210477623039754,0.90376877784729,0.9311472773551941,0.9536967277526855,0.9597459435462952,0.40637450000212993,reports\basis_fits\attn-k_4096x4096_k2_r16.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",4,0,ok,805306368,67109056,11.999965667822835,0.941861093044281,0.9999582171440125,0.9999993443489075,0.9999994039535522,0.11558870000590105,reports\basis_fits\attn-k_4096x4096_k4_r0.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",4,4,ok,805306368,68681920,11.725158061976137,0.9158907532691956,0.9723213315010071,0.9830836653709412,0.9852046966552734,0.4222872000100324,reports\basis_fits\attn-k_4096x4096_k4_r4.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",4,8,ok,805306368,70254784,11.462655240673717,0.90035080909729,0.9560225009918213,0.9720379114151001,0.9762002825737,0.4185340999974869,reports\basis_fits\attn-k_4096x4096_k4_r8.safetensors
Lightricks/LTX-2.5,attn.k,"[4096, 4096]",4,16,ok,805306368,73400512,10.97139987252405,0.8767064809799194,0.9291977882385254,0.9536556601524353,0.9596670866012573,0.43500610000046436,reports\basis_fits\attn-k_4096x4096_k4_r16.safetensors
Lightricks/LTX-2.5,attn.out,"[4096, 4096]",2,0,ok,805306368,33554528,23.99993133564567,0.9738761186599731,0.9999983310699463,0.9999998807907104,1.0,0.1103339999972377,reports\basis_fits\attn-out_4096x4096_k2_r0.safetensors
Lightricks/LTX-2.5,attn.out,"[4096, 4096]",2,4,ok,805306368,35127392,22.925310481347434,0.9668318033218384,0.9924061298370361,0.9957931041717529,0.9960408806800842,0.3823897999973269,reports\basis_fits\attn-out_4096x4096_k2_r4.safetensors
Lightricks/LTX-2.5,attn.out,"[4096, 4096]",2,8,ok,805306368,36700256,21.9427997450481,0.9606512784957886,0.9866509437561035,0.9920918941497803,0.9922753572463989,0.3959519999916665,reports\basis_fits\attn-out_4096x4096_k2_r8.safetensors
